size	width	threads	status	outdir	log
64	2	1	DONE	results/A15/s64_w2_t1	results/A15/logs/s64_w2_t1.log
64	2	2	DONE	results/A15/s64_w2_t2	results/A15/logs/s64_w2_t2.log
64	2	4	DONE	results/A15/s64_w2_t4	results/A15/logs/s64_w2_t4.log
64	2	8	DONE	results/A15/s64_w2_t8	results/A15/logs/s64_w2_t8.log
64	2	16	DONE	results/A15/s64_w2_t16	results/A15/logs/s64_w2_t16.log
64	2	32	DONE	results/A15/s64_w2_t32	results/A15/logs/s64_w2_t32.log
64	4	1	DONE	results/A15/s64_w4_t1	results/A15/logs/s64_w4_t1.log
64	4	2	DONE	results/A15/s64_w4_t2	results/A15/logs/s64_w4_t2.log
64	4	4	DONE	results/A15/s64_w4_t4	results/A15/logs/s64_w4_t4.log
64	4	8	DONE	results/A15/s64_w4_t8	results/A15/logs/s64_w4_t8.log
64	4	16	DONE	results/A15/s64_w4_t16	results/A15/logs/s64_w4_t16.log
64	4	32	DONE	results/A15/s64_w4_t32	results/A15/logs/s64_w4_t32.log
64	8	1	DONE	results/A15/s64_w8_t1	results/A15/logs/s64_w8_t1.log
64	8	2	DONE	results/A15/s64_w8_t2	results/A15/logs/s64_w8_t2.log
64	8	4	DONE	results/A15/s64_w8_t4	results/A15/logs/s64_w8_t4.log
64	8	8	DONE	results/A15/s64_w8_t8	results/A15/logs/s64_w8_t8.log
64	8	16	DONE	results/A15/s64_w8_t16	results/A15/logs/s64_w8_t16.log
64	8	32	DONE	results/A15/s64_w8_t32	results/A15/logs/s64_w8_t32.log
