size,width,threads,sim_insts,cycles,ipc,outdir
64,2,1,4109449,2308481,1.7801528364322687,results/A15/s64_w2_t1
64,2,2,4123094,1282419,3.2150911675513227,results/A15/s64_w2_t2
64,2,4,4147057,768565,5.395844203157833,results/A15/s64_w2_t4
64,2,8,4215350,515053,8.18430336295488,results/A15/s64_w2_t8
64,2,16,4421702,391465,11.295267776174116,results/A15/s64_w2_t16
64,2,32,5019056,341535,14.695583175955612,results/A15/s64_w2_t32
64,4,1,4109449,1365568,3.009333112668135,results/A15/s64_w4_t1
64,4,2,4160716,801594,5.190552823499178,results/A15/s64_w4_t2
64,4,4,4220624,520290,8.112060581598724,results/A15/s64_w4_t4
64,4,8,4316171,381832,11.303848289300007,results/A15/s64_w4_t8
64,4,16,4696264,318392,14.749943465916228,results/A15/s64_w4_t16
64,4,32,5814039,302483,19.22104382725641,results/A15/s64_w4_t32
64,8,1,4109449,1334530,3.0793230575558437,results/A15/s64_w8_t1
64,8,2,4161425,785008,5.301124319752155,results/A15/s64_w8_t2
64,8,4,4227943,510238,8.286217412266433,results/A15/s64_w8_t4
64,8,8,4436443,376396,11.786636946194966,results/A15/s64_w8_t8
64,8,16,5091348,315224,16.15152399563485,results/A15/s64_w8_t16
64,8,32,6981135,299612,23.300585423814802,results/A15/s64_w8_t32
